,Date,Open,High,Low,Close,Volume,등락률,공매도
0,2025-07-16,63700,64700,63100,64700,23042660,1.5698587127158554,1614589
1,2025-07-17,65900,66800,64400,66700,39448683,3.091190108191654,2860902
2,2025-07-18,67000,67800,66300,67100,23951531,0.5997001499250375,1716666
3,2025-07-21,67400,68800,67200,67800,17723148,1.0432190760059614,946210
4,2025-07-22,68100,68500,65600,66000,20829006,-2.6548672566371683,919231
5,2025-07-23,66200,66500,64900,66400,15687058,0.6060606060606061,473053
6,2025-07-24,66500,66800,65900,66000,12660193,-0.6024096385542169,938510
7,2025-07-25,65700,66300,65500,65900,8080910,-0.15151515151515152,327707
8,2025-07-28,68200,70400,67200,70400,35332500,6.828528072837632,1858417
9,2025-07-29,70800,70800,68800,70600,28190940,0.2840909090909091,2908631
10,2025-07-30,71000,73700,70600,72600,34761444,2.8328611898017,2434466
11,2025-07-31,73000,74000,71000,71400,26568072,-1.6528925619834711,1077521
12,2025-08-01,70200,72000,68800,68900,24038534,-3.5014005602240896,1123823
13,2025-08-04,69500,70200,68700,69700,14780072,1.1611030478955007,1860386
14,2025-08-05,71000,71500,69700,69900,14392903,0.2869440459110474,1221672
15,2025-08-06,69200,69400,68300,68800,12542415,-1.5736766809728182,592040
16,2025-08-07,70800,71000,69700,70500,15008213,2.4709302325581395,1139604
17,2025-08-08,71000,72400,70700,71800,22241128,1.8439716312056738,1681920
18,2025-08-11,72000,72100,70800,71000,11354253,-1.1142061281337048,1039877
19,2025-08-12,71100,72400,71100,71100,15797656,0.14084507042253522,278922
20,2025-08-13,71900,72100,71400,71900,12305742,1.1251758087201125,431359
21,2025-08-14,71900,71900,71200,71600,11795785,-0.4172461752433936,419882
